Puan,Yorum
1,Kars ın çevresindeki illerden farklı olarak aydın çağdaş bir şehir olduğunu anlatmasının yanında bugün Kars tan ayrılmak zorunda kalmış Karslıların memleketlerine olan özlemini ortaya koyan bir eser
0,Burdaki yorumlara dayanarak almıştım kitabı Daha önce böyle öyküler okuduğumu hatırlamıyorum Kesin derinlerde bir anlatmak istiyor kendimi paraladım bir çıakramadım Benim zaman kaybı oldu Ne yazık başka bir kitabını almıştım
1,Asil Duygular Emma Chase den romantik tutku dolu akıcı sürükleyici bir roman Diğerleri bunu bir solukta elimden bırakamadan okudum Tavsiye ederim
1,Sosyoloji bilgisi olan kişilere fazla katkı bakışı açısı kazandıracak kıymetli bir eser
0,tarz kitapları sevmeme rağmen kitabı beğenmedim yarım bıraktığım nadir kitaplardan oldu
0,İletişim baskısı nedense beni sarmıyor
1,Tek taraflı bir aşkın derecede yaşanbileceğini R sayesinde öğrenmiş oldum Harika bir kitap
1,Bilim nedir önemlidir sorularına cevap Lisansüstü eğitimde harika verimli oldu
1,merak içinde bir oturuşta okudum öyle akıcı sizi kitabın içinde bir oraya bir buraya götürüyor
1,Her zaman elinizin altında bulundurabileceğiniz güzel bir çalışma
0,Kız kardeşime aldım barbie seviyor
1,hoş vakit geçirtip keyif aldıran tam kararında bir aşk hikayesi
1,Bu yayınevinin soru bankaları sağlam
0,Diğer kitaplarından farklı tabi eski bir kitap yıllar geçtikçe yazarımız dolmuş taşmış kitabı pek beğenmedim mesajlar içeren roman tekrarları okunmasa olur
0,Namık Kemal bütün kötü olayları Mahpeyker in üstüne yıkıyor sonda ondan öç alıyor
1,Konu ilgilenenlerin mutlaka okuması gereken bir kitap Akıcı bilgilendirici üslubuyla sonuna mükemmele yakın bir kitap
1,bizzat ortamları görmüş yaşamış birinin ağzından muhteşem kitap tavsiye ederim
1,Cenk Kayakuş un yeni romanı Kurgusu ilginç tarihi bir olayı değişik bir gözle anlatıyor Keyif alarak okudum
1,Don Kişot gönülsüzce sadık seyisi Sancho Panza nın maceralarını onların modern dünyadaki yanlışları düzeltmeye yönelik talihsiz yolculuklarını anlatan dönüm noktası niteliğindeki hik ye bize insan olmanın gerçek anlamını gösteriyor
1,filmi izledikten sonra etkilendim kitabı filmi kadar güzel
0,Çetin Öner kitaplarını severim genelde kitap beni hayal kırıklığına uğrattı Kitaptaki çocukların küçük yaşta sigara içmeleri olumsuz örnek davranıştır Okutmamalıyız çocuklarımıza
0,Kitap bana ağır geldi heralde pek anlayamadım anlamlandiramadim Tercihimi iyi aile yoktur kitabından yana kullanmadığım pişman oldum asıl merak ettiğin oydu Fakat kitap dili itibariyle bana ağır anlaşılmaz geldi Tavsiye etmem
0,Çok fazla anlatım bozukluğu olan teknik bilgiler içermeyen bom boş bir kitap Yazar olmayın hasta bakın lütfen Zaten kitap içinde gizli gizli sürekli kendiniz övmeye çalışmanız bir hayli garipti
1,Yazarin eserleri okunmali ayri guzel
0,sanırım ben yazarın dilini begenmedim küfürlü bir dilden hoslanmıyorum diğer kitaplarını yarıda bırakmıstım naif dili güzel türk edebiyatı hayranıysanız size göre degıl maalesef
1,Bize Ali Yaşar Sarıbay tavsiye etmişti bende size tavsiye ediyorum
1,YAZIMI ANLATIM VE VERİLEN BİLGİLER ÇOK KIYMETLİ VE ÖNEMLİ
0,Ben sıkıcı buldum kitabı
1,öykünün ayrı bir tadı var Araby sevdiğim
1,asimov asla şaşırtmıyor harika bir kitap
0,Yarım bıraktığım nadir kitaplardan oldu Gerilim yazısına kanıp beklentiye girmeyin sakın
1,Ters zamanda gelen İmparatorluğun kurtulması dağlarda çöllerde savaşan can alan şehit olan Türkler Okurken etkilendim Ruhları şad olsun
0,konu itibariyle ilginç nobel ödüllü bir yazar olduğu almıştım kitabını beklentimi karşılamadı
0,İLGİMİ HİÇ AMA HİÇ ÇEKMEDİ
1,İlk 50 sayfası zulüm gibiydi hiçbir anlamadım sonra birden çözülmeye başladı Washington kısımlarında yine sıkıldım onun dışında okuduğum ilginç kitaptı diyebilirim Film izler okudum kitabı özellikle mağara betimlesinde ben mağaranın içine girdim adeta Nicholai Hel karakteri tanıdığım irade sahibi dost olmak iyi seçenek düşman olmamak iyi seçenek olan gözümde şibumiye ulaşmış birisi oldu Macera arıyorsanız kesinlikle kitabı okuyun
0,Alacak arkadaşlar kitap roman havasında değil Bilgi vermek amaçlı macera tarzı akıcılık beklemeden okunabilir
0,kitap şimdi elime ulaştı şöyle sayfaları hızla çevirip baktığımda hayal kırıklığına uğradım sadece 17 tane egzersiz var yüz egzersizleri ilgili diğerleri bilindik yoga teknikleri egzersizlere ulaşmak youtubeda bir sürü video var yüz yogası maalesef beni tatmin etmedi
1,Gerçek bir hikaye hayatın içinden bir insan yaşadıklarını olduğu aktarmış severek okudum mutlaka okunması gereken gerçek bir hikaye kesinlikle tavsiye ederim
0,TAVSİYE ÜZERİNE ALDIM LAKİN TOPLUMUN 70 İNİN MÜSLÜMAN OLDUĞU BİR ÜLKEDE BAZI DEĞERLERE HİTAP ŞEKLİ HİÇ HOŞ DEĞİL OKUYORSUN OKUYORSUN ANNELİK SÜREKLİ OLARAK YERLERDE HİÇ BİR ÇÖZÜM ÖNERİSİ YOK TEKRAR EDEN MEVZULAR VE VERİLEN UÇ ÖRNEKLERLE GENELLEMELERİN YAPILMASI ÇOK YANLIŞ GELDİ AYRICA YAZAR İSLAM DİNİNİ BİLMİYOR VE BU SULARDA YÜZMEYE ÇALIŞIYOR OKURKEN BOĞULDUĞUNU GÖREBİLİYORUM
1,Projem almıştım kitabı Gerçekten güzel bir anlatım şekli var Kahvenin tarihini merak ediyorsaniz mutlaka alıp okumaniz gereken bir kitap Bu kitabı okuduktan sonra cümleyi çıkardım kendime Tarihin kokusu olsa kahve kokusu olurdu
0,benm acemi iiseniz almayın derim modeller zor geneli araba resmi
0,Büyük bir umutla alıp hayal kırıklığına uğradığım bir kitap Biraz tarama yapıp bulabileceğiniz kuran harflerine uyarlayabileceğiniz etkinlik oyun önerileriyle dolu Hele Kuran biliyorsanız düşünmeyle keşfedebileceğiniz teknikler Kitabı özel alınır kılacak bir tarafı yok
1,Sürükleyici bir polisiye Bir solukta okunuyor
0,Beğenmedim Okumadığınızda hiçbir kaybetmezsiniz hatta vaktiniz size kalır zaman kazanırsınız
1,Bazı cümleler vardı dönüp tekrar tekrar okudum Hiç kitapları karalamayan ben öyle sözcükler bir araya gelmişti altlarını çizmeden edemedim Çok beğendim tavsiye ediyorum
1,Hayatın içinden manzaralar oldukça etkileyici sürükleyici bir eser
0,aşırı derecede basit saçma bulduğum bir kitap okumasanız kaybetmeyeceksiniz
0,Kitabı yapılan yorumlar sosyal medyada sık sık aldığı övgülere istinaden merak edip aldım Kitap ciltli basımı harika ancak içeriği aynı şeyi söyleyemeyeceğim üç dört satırlık kendince özlü sözler Yazarın tweet leri kitap haline getirilmiş saate bitirilebilecek pazarlama açısından başarılı bulduğum bir eser
1,Bu hikayeleri hayatınızda bir kere okumalısınız
1,sınav tarzı sorulara yönelik hazırlanmıs videoçözüm destekli olması ekstra iyi cözemediğim soruya hemen cepten bakabiliyorum
0,Konu dar bir alanda anlatılmış Beğendiğimi söyleyemem
1,Her karakter günümüzden esinlemeler yaptırıyor insana En güzel yanına sizi yarattığı karaktermiş hissettirmesi Her kitabın sonunda dediğim Ahmet Ümit in eserleri derhal görsel sanat haline getirilerek hafızalara Türk sinema tarihine kazınmalı
0,Dili çevirisi kötü Cümlelerin başı sonu özne yüklem uyumsuzluğu fazla Anlaşılmıyor akıcı değil Tavsiye etmem sonunu getiremedim Ne başı sonu belli düşünce belli
1,acayip serisini kardeşim sevdiği aldık seriyi okudu tavsiye ederim
1,Hem yeni İslam ı öğrenen bilgileri tazelemek güzel bir kaynak ayrıca insanı sürükleyip götüren bir yoruma sahip Taşkın Tuna nın kariyeri gereği bilgi sahibi olduğu modern fizik bilmeyenlere gayet basit şekilde anlatılmış Allah ın OKU emrinin gereği okuyunuz
1,HAYATIM DA AZ KİTAP OKUYORUM DİYENLER HAYATINIZIN KİTABI OLABİLİR BU KİTAP İHSAN HOCA SANKİ SİZİN İÇİN YAZMIŞ HEM MÜSLÜMANIN EL KİTAPLARINDA İLK 5 DE YER ALCAK BİR KİTAP İÇERİK VE KONU İTİBARİYLE
0,Olumlu yorumları okuyunca büyük bir beklentiyle kitaba başladım fakat beklediğim gitmedi Beğenmedim
1,Şiddetle tavsiye edilir Değnek adamın yazarlarından bir güzel kitap Okul öncesi kesinlikle okunmalı Vefayı anlatan bir yolculuk
0,Dar kapsamlı bir inceleme kitabı Çok yararlandigimi söyleyemeyeceğim
0,beğenmediğim bir eser oldu malesef
0,Okay tiryakioğlunun önce 7 kitabını okudum kötüsüydü almam dedirtti kitap kalınlığına ulaşsın olayları fazla uzatmış Beğenmedim
1,zor kolay bir soru tarzı var başarılı
0,Çok ümitle almıştım Beklentilerimi karşıladığını söyleyemem Özellikle artisan ekmek doğal ekşi maya konusunda rehber olabileceğini düşünmüştüm fakat maalesef yanılmışım tarifler hazır ticari mayalar hazırlanıyor Fotoğraflar kitabın baskı kalitesi güzel ona diyecek lafımız Yok elbette Fakat okuyucu olarak ilk beklentimiz içeriği idi kesinlikle fiyata değmeyeceğini düşünüyorum
1,gayet güzel lys çalışana lazım olan bir kitap D
0,Akıcı bir üslubu olsa beğenmediğim bir kitap oldu
0,Yazarın 6 şiir kitabını Gelecek Mırıldandıklarım Timsah Sokak Şiirleri Yaz Geçer Oyunlar İntiharlar Şarkılar Omayra okudum Yalnız öyle rast gele almadım kitapları Sordum soruşturdum fazla beğenilen kitapları bunlar Ama ben bunların arasında sadece Timsah Sokak Şiirlerini beğendim Yazarımız deneme kokulu şiirler yazmış Gayet içten olmuş Diğerleri söyleyebileceğim tek zaman kaybıydı
1,Sade anlatım resimleme uyku öncesi güzel öyküler
1,hikayesi desen harika resmi desen mükemmel güzel bir kitap
0,Geberip gideceğim Allah güne kadar bana acıdan başka bir vermedi Ona tapayım Hani bir şeye ol dediği zaman oluverirdi Bizde bekliyor
0,Can Yılmazdan iyi hikayeler beklerdim
1,cok etkileyici bir kitapti
1,ilk tarZ kitap okudum bayıldım Mutlaka alınmalı
0,ana fikri doğru zayıf bir kitap
1,bence bir Kitaplık ta mutlaka olması gerekenlerden tekrar tekrar okuyabilirsiniz
0,Faydasını görmedim
1,Hız kesmeyen bir seri İnsanın zihnini kalbini meşgul edebilen ustaca kurgulanmış arkasında emek barındıran bir kitap
1,sevdiğim yazar onu seviyorum ablam sağolsun oda bana kitaplardan alıyor
0,Eseri büyük bir merakla aldım ancak yazım hatalarının inanılmaz derecede fazla olması kitabı yarıda bırakmama oldu
1,hayatta farkında olmadığımız şeylere dikkat çeken bir kitap Ruhumuzun bakımını sağlayan güzel bir kitap Şiddetle tavsiye ederim
0,Almış oldum okumuş oldum okumasam olurmuş
0,Konu ağır geldi okuyamadım Beklentimi karşılamadı üzgünüm
1,Sabahattin Ali nin diğer kitapları güzel bir eser
0,Kitaptan pek bir anlamadım Yorumlara bakarak almıştım pişman oldum
0,hic sevmedim cok eski kafa bir kitap
0,Soruların şıkları yok 101 adet soru var Kocaman sayfaya bir adet soru yazmışlar Beğenmedim
0,melankoliden boğuldum eserden beğenmedim
0,Ne kadar beğenilmiş Edeni açıdan bakınca olabilir Ancak İçerik verdiği mesaj açısından bakınca değerlendiren okuyucular önce hikayedeki 14 yaşındaki erkek çocuğun bir yakınları hatta çocukları olduğunu varsaysınlar ona hikayedeki bir orta yaşlı üstelik hemcinsi olan birinin beslediği abartılı fiziki beğeniyi ballandırarak anlatmasını değerlendirirlerdi Önce iğneyi kendimize batıralım sonra kadar süslü değerlendirmeler yapalım Burada düpedüz pedofili eksenli bir hikaye var Yazıldığı Yıl 1913 olsa böyle bir konunun üstelik yazın edebiyatı olarak topluma aktarılabilmesi sağlıklı bir kafanın eseri olamaz
0,Pek başarılı bulamadım açıkçası
0,Bir şirk kitabı Uydurma evliya menkıbeleri Yazan menzil tarikatı
1,Çok guzel bir kitap 12 yaşında kızım defalarca okudu
0,site göründüğü kadar güzel değil
1,övgüyü hakeden bir eser
1,serinin 3 kitabının baskısının olmaması bulunamaması ilginç bir durum onun dışında gayet iyi bir seri
1,Erkeklerin okuyup ders alabileceği bir kitap yönetmekten doğru yönlendirip motive etmek uygun bir tabir olurdu düşünüyorum
1,Feniçka yı beğenmiştim Arayışlar ı beğendim
0,Kitabın dili ağır
1,Altını çizdiğiniz cümleler hayatınızı şekillendirecek O denli harika bir kitap
1,Türk tarımının sorunları çözüm önerileri birlikte sistematik bir şekilde ortaya konmuş Yılların birikimini deneyimini sayfalar arasında hissetmemek mümkün değil
1,Yazarın diğer romanları buda güzeldi
0,Beklediğim çıkmadı kitap doğrusu Tarihi güzel araştırılmış bir kaynak diyerek almıştım Anlatım tarzı durağan
0,dönüş fikirleri tehlikelidir üzerinde durduğu zemin iyi ayarlanmazsa ayırıcı rol oynaması olası kitaptan beklentilerim var yazara çabaları teşekkürler
1,yazarın beğendiğim bir kitabı basmakalıp düşüncelerin ötesinde bir insanın kendini geliştirebilmesi hayallerine peşinde feda edebileceği şeyleri anlatıyor
0,kitabı beğenmedim iç çamaşırından başka çizecek resim mi yok restorant çizimleri hoş değil
1,Kafanız karışmadan okuyabileceğiniz bir kitap
1,Kesinlikle okunması gereken bir roman Rus tabii dünya edebiyatının önde gelen eserlerinden
1,Güce sahip olup onu kullanmayacak kadar akıllı olmanın işe yaradığını merak etti Evet iyi fantastik romanlardan Yerdemiz Serisi
1,Arapçanızı geliştirmek alınması gereken kitap
1,Martin Widmark kitapları okumaya değer özellikte
1,önce duyulmamış bilgiler içeren bir hazine
0,Osmanlıcanız iyi değilse uzak durun yoksa size bakıyor ona
0,Firma ürünü sattıktan sonra kesinlikle ilgilenmiyor Herhangi bir sorun yaşarsanız kesinlikle sağlıklı bir geri dönüş olmuyor Bu siteden yaptığım ilk alış veriş kimseye tavsiye etmiyorum
0,13 ekim 2014 vefat eden CAHİT ÜLKÜ hakkında hürriyet gazetesinde verilen ilanın altında HÜR VE KABUL EDİLMİŞ MASONLAR BÜYÜK LOCASI yazması beni şaşırtmıştı
0,Çok merak ettiğim bir kitaptı Heyecanla aldım am hüsrana uğradım Kaliteli bir yayın olmasına rağmen çevirisi kötü Cümleler içimde bir anlam bütünlüğüne gidilmemiş Yunancadan aynen çevrilmiş Türk dil yapısına uyarlanmamış Sırf dilinin bozukluğundan dolayı kitabı zor bitirdim Okumakta kadar zorlandığın nadir kitap vardır Buda onarsan Bu parayla şahane kitaplar alabilirdim yazık oldu düşündüm
0,Herkes kendi bildiğini yazıyor bence bunu okuyacağınıza kuranı okuyun
1,Bazı aşk romanları vardır sizi içine hapseder hadi sizde alın içine hapsolun
0,basitti benim bir hayal kırıklığıdır
1,Yazarına hayranlık duyduğum bir kitap kurgu
1,Sekiz yaşındaki kuzenime doğum günü hediyesi olarak aldım beğendi
1,Serinin ilk kitabı bence güzeli
0,tavsiye olarak pek bir bulamadım bilgi olarak beğenmedim
0,gül dalı sanırım kitap yurdu çalışanısın yorumların standart Lütfen okuyucu olarak yorum yazın yada hic yazmayın
0,ben kitabı sevmedim yeraltı edebiyatı buysa ben almayım
1,Arayış içinde olan bir kadının kendini tanıma hikayesini konu edinen bir günde okunabilecek kitap
1,paulo coelho farkını bir göreceksiniz dünyada çoğu kişinin bilmediği yadırgadığı yargıladığı hayatın içine girip onları anlamaya hayata birde onların gözünden bakmaya başlayacaksınız
1,Filmini izlemeden kitabini mutlaka okuyun
0,Kızım elsa hayranı olduğu elinden düşürmüyor kitabın anlatımı güzel değil
1,Oğlum heyecanla okudu Dayanamadım bende okudum Gerçekten güzel
1,Hepimizin ürettiği bahaneleri bir bir yüzümüze vuruyor Ders alabilene kitap yeterli
0,Kelimeler hikaye tarzında değil Eric Carle ın yazdığı basitbir kitap ol uş bence
0,çevirisi berbat konular anlaşılamıyor tıpkı Aytaç ARMAN filmleri
0,Yazılan yorumlar biraz inceledikten sonra heyecanla kitapları satın aldım Fakat tam bir HAYAL KIRIKLIĞI İçerik sığ Olaylar kurgular basit Mantığımızı metafiziğimizi zorlayacak seviyede değil İlk ortaokullarda hikaye olarak okutulabilir Türkiye dış güçleri kadar basit bir şekilde alt edeceğini düşünüyor vay halimize
0,Bekkentinin altında bir kitap Ve sonu kötü bağlanmış Bi din toplum küçük düşürülüyor yerlerde
1,Çok güzel bir çizgi roman Tavsiye ederim
0,baburname okumak istiyorsaniz gerekiz bir secki kitap
1,apartmanda yasayanlar icin tavsiye ederim bir cok yeni sey öğreniyor
1,Soru sormak konusunda oldukça öğretici bir çalışma
0,Sırf yazılmış olmak yazılmış bir kitap Derinlikten yoksun
1,james joyce ye başlamak güzel kitap tavsiye ediyorum
1,Hoca nın İslam Terör kitabında işlediği konuları geniş ele aldığı bir eser
0,Çizimler karmaşık Kızım beğenmedi
0,Anlatımı olay kurgusu karmaşık Okumak çaba sarf etmeniz gerekiyor Faust kitabını sevenler kitabı sevebilir
1,Muhteşem bir eser Rusya nın iyi yüzünü birden gösteren insana ders veren bir kitap
0,Bitiremedim Gerginlik verdi ilk bir kitabı kötü elştirdim tamamiyle alışkın olmadığım tarzdan dolayı merak ederek almıştım çekemedim
0,beğenmedik yazık sonu çocuk içim uygun bulmadım
1,A1 seviyesini bitirmeden anlamak biraz zor Ama yine anlaşılabilir alıştırmalarıyla faydalı bir kitap
0,Okunmasa bişey kaybedilmeyecek bir kitap Sadece günlerin düşünce yapısını görmek okuna bilir
1,çocuklar şiir okumasın işte kitapla okusun
0,Terzi fikrinin yaptığı icraatlardan başka herşey var
1,anne kız çocuğu ilişkisindeki kıskançlık gençliğe özlem vs iyi aktarılmıştı ben beğendim
1,Biz kitaba bayıldık Çok kaliteli bir kadar eğlenceli Sincap Kitap üç boyutlu kitaplarını sayı olarak artırmalı düşünüyorum
0,Yazarın siyasi yorumlarından dolayı okumadım Ilk bir kitabı yarım bıraktım Şiirlerini sevdiğim bir şairdi
0,bir yıldız bile fazla mecburiyetten başka kitaplardan alıntı çoğu bilgi
0,beklediğim değildi sıkıldım
1,Platonik aşkın güzel anlatımı
0,Popüler kültürün yarattığı çerez kitaplardan hiçbir edebi değeri yok
1,hilafetin kime ait olması hususundaki kafa karışıklığını giderecek bir eser
0,Yazar islami açıdan yanlı bakıyor bence objektif bir kitap değil
1,Türkçe öğretmeni olarak 119 adet aldım içeriği boyut olarak güzel kullanışlı tavsiye ederim
0,insanların kitapları alınmamal bile
1,keşke filmi izlemeden önce okusaydım kadar güzel bir aşk hikayesi anlatıyor sonunda gözlerinizin dolmasına engel olamıyorsunuz
1,güzel bir kitap nokta atışı tespitleri var okunmalı
1,Haydar Ergülen ruhun derinliklerine inmeyi iyi bilen şairlerimizden biridir
0,Paragrafa konusuna yeni başlamış biriyseniz ilk başta anlamıyorsunuz kadar çıkmış sorularla tıklış tıklış doldurulduğunu Pegemin ezber bozan kitabı bundan iyi sayılmaz azından kitabın üzerine yazıyor çıkmış sorular var Soru üretebilmiş bir paragraf kitabı almakta fayda var yorumlarımızı iyi deneyimliyebildiğimiz şeyler üzerinden oluşturmuyoruz Dikkat edelim
0,kızım 24 aylık başlangıç aşaması aldım fakat bakinca etkinliklerin yaşına uygun olmadığını gördüm keşke kademe kademe zorlastirilsaydi böyle olsaydi adı 24 36 ay icin geçerli olurdu buna rağmen etkinlikler uzak kazanımlar veriyor mesela diyor çocuk oyuncağını almak nasl bir yol izlesin çizgi cizin kızımın cevabı alamaaaa kipat cikamaaaa hayal gücü kazanım olarak biraz uçuk geldi bana ayrıca kitap ince hemen bitiyor
0,KESİNLİKLE GEREKSİZ OLDUĞUNA İNADIĞIM KİTAPLARDAN ZAMAN İSRAFI
0,gerilim beklemeyin bir Öyle yok Yazar yazacağına karar verememiş Polisiye casus mistik drama Yani konu hangisine giriyor ben anlamadığım sıkıldım NY times best seller olmuşsa artık
0,Genel anlamda akıcı sohbet havasında fakat yer yer tekrarları parantez başlıklı yabancı sözcükleriyle dikkat dağıtan unsurların olduğu onun dışında tarihe değişik farklı bir pencere açan eser Emrah Safa hocamıza teşekkür ederim Daha güzel eserlerde kendisiyle buluşmak üzere
1,İnanılmaz ölçüde karışık özgün bir roman kahramanı Nicholai Hel
0,Çok özür dileyerek yazıyorum yorumu Açıkçası kitabı pek sevmedim Anlatımı biraz ağır olmuş Sıkılarak okuduğum bir kitap
1,İşaretlerle dolu sürükleyici bir kitap Bir Eyvallah Üsküdar başlayan hik ye Anadolunun farklı şehirlerini gezdiriyor Kalbe dokunan bir yanı var İşaretlerinin izini sürmekten bıkmayanların okuması gereken bir kitap Ayrıca Filistinli bir yönetmenin yazarın İstanbul tasviriyle İstanbul a tekrar sevdalandım
1,Beynin iki lobunu çalıştıran etkinlikler var 3 yaşındaki oğlum henüz okula gitmiyor evde kitapla anaokuluna hazırlanıyor
0,Vakit kaybetmek istemiyorsanız okumayın derim İçinde bilmediğiniz hiçbir yok Matematik ispatlar sadece işinin uzmanlarını akademisyenleri ilgilendiriyor Özel bir koleksiyoner değilseniz işinize yaramaz
1,Çok güzel bir dua kitabi Her gune açıp bir tane icinden seçip okuyabilirsiniz Ebati iyi
1,Poppy J Anderson nun ilk okuduğum kitabı oluyor Beğendim Aşk yemek yüklü bir kitap
1,Kısa öz hikaye olmuş beğenerek okudum
1,Saniye Çelik hanım Doğan Hocaya eşinden gördüğü fiziki psikolojik şiddete rağmen hala ayakta kaldığını başarı hikayesini anlatıyor Zaman zaman öfkeleneceğiniz duygulanacağınız bir kitap Gerçek olması bunu yaşayan kisinin anlatması etkileyici Çevremizdeki Saniye Çelikleri fark ediyor insan Saniye Hanım yaşadıklarını duyurabilmiş peki çevremizdeki sesi çıkmayan Saniye Çeliklere demeli
1,Bir kadının gerçek etkileyici hikayesi anlatılıyor Oldukça sürükleyici
0,Serdar Ortaç kitap yazmış Siparişe ek geldi Okudum desem yalan olur Sanatına bakınca kitabından kaçtım
1,Küçük yaş grubu çocukların ilgisini çekecek güzel bir kitap
1,Kardeşim aldım Kitabı incelediğimizde öncelikle ÖSYM sorularını veriyor ardından anlam bilgisi sözlüğü var tabi önemlisi video çözümlü soruları Çözdüğümde soruların sınava yakın olduğunu görebiliriz
1,Seslere takintili cocuklar icin birebir
1,kitap gayet keyifliydi sorunsuz şekilde ulaştı
0,hikaye saçma olaylar saçma uzun uzun duygu anlatımlarıyla dolu olduğu sonunu getiremedim
0,Kitabın başı itibariyle sarmadı Yarım bıraktığım nadir kitaplardan
1,Farklı kartlar çıkarılabilecek farklı işaretler var İnanmak önemli
0,Gidip internetteki cinayet haberlerinin yorumlarını kitap yapmışlar bunu öven hangi kafayla övdü anlayamadım
0,fantastik bir kitap oldugunu duaunerek aldim ancak cocuk masali cok agir ilerliyor elimde eskidi kitap
0,Çok beğendimi söylemem sıkıcı geldi
1,Alandaki iyi kitaplardan
1,Bu özel seri bende olsun istedim
1,Macera hızıyla devam ediyor bir solukta bitti akıcı enteresan olağan üstü kurgusunu sizlerinde yaşamanızı tavsiye ederim fiyata kaçmaz yazarın kalemi sağlam okuyucuyu kendine sıkmadan çekeceğini biliyor seriye devam
0,Benim dinime pekde hitap etmediği birazda saçma bulduğum yarıda bıraktım benim pişmanlıktı
0,Bu kitap abartıldığı kadar güzel değil bence Ya ben kitabı okuduğum zamanlar fazla fütüristik kitap okudum bilmiyorum abartıldığı kadar olmadığını düşünüyorum
0,Jung u Freud kadar beğenmedim Çeviri kötydü
0,Yazarın öbür kitabı kadın doğup kadın olmakken erkeği bir üst evre adam olmaya şartlayı başlık atıp kitap açıklamasında adam olmayan varan bir ifade kullanmasından ötürü
0,bir okuyucu olarak zevk aldığım kısımlarda vardı yaa bunu yazmaya gerek vvardı dedğim yeerlerde Yazarın Birebir yaşadığı şeyleri aktarırken burda haklı olabilir vs oldu dokundurdu bazen aman şurası bitse dedirtti Belki aynı yaraya sahip değildim yüzden yazdıkları bana geçmedi yazdıkları belli bi kısma yönverir etrafımızda küçük bir kırıntıya umuda yön göstermeye ihtiyacu var Kimine göre kalemi güçlü bir yazar yapar seni kimine göre arkadaş ortamında susması 4 gözle beklenen insan kimine göre çalıncak kapı kimne görede bir otobüslük yol ark Hani yolculuklarda konuşursun konuşursun bi anda benim uykum geldi der yatarsın bazen yol bitmesin istersin İşte bende böle bi arda kalmışlık var
1,Gezmeden önce okunması gereken yardımcı kitap
0,Uygun Bi fiyata almış olsamda verdiğim paraya harcadığım zamana değicek Bi kitap değil Saçmalık
0,yazarın diğer kitapları kadar başarılı değil maalesef
0,hayatımda okuduğum sıkıcı kitaptı diyebilirim hiçbir şekilde tavsiye etmiyorum
1,1 5 yaşından beri resimlerine bakıp anlatıyoruz Bütün seriyi seviyor Çiftlik ilk favori kitabı
1,mükemmel bir eser bir oturuşta bitirilir
1,Suratınızda oluşan gülümsemeye engel olamadığınız sürükleyici bi çırpıda biten eğlenceli bir romantik komedi
1,muhteşem kurgu kesinlikle pişman olmayacaksınız
1,Çevirisine bayıldım Hiç sıkılmadan okunuyor
1,DEĞİŞİK BİR KITAP KIZIM BEGENEREK OKUDU
1,okurken hüzünlenseniz dostluğu hissedeceksiniz
1,Tasavvufi konulara ilgi gosteren ahlaki acidan kendini gelistirmek isteyenlere kitap cok seyler katacaktir Imam Gazalinin manevi hocasidir ondan cok etkilenmistir
1,Sıradan insanların kahramanlaştığı fantastik bir kurguda varoluşun değer problemine gönderme yapan değişik bir yaklaşım tekrar tekrar okumak isteyecek okumada farklı bir derinliğe ineceksiniz Serinin diğer kitaplarını sabırsızlıkla bekliyorum
0,Kitabın adı epey iddialı gerçekten hepimizin merak ettiği efsaneler konu olmuş bir süreç Türklerin Nasıl Müslüman Olduğu Bununla birlikte kitap başlığa uygun değil bence Koştur koştur yazılmış eski Türk tarih yüzeysel anlatılmış bir İslamın ilk asırları Birden bire Selçuklu kurulup final yapılmış Bence hayal kırıklığı
0,ince bir kitap olmasına rağmen cok zaman aldı bitirmek kitabı konusunu hikayeyi inanılmaz sıkıcı buldum hint yaşantı tarzı gerçekten ilgimi çekmiyormuş onu anladım
0,Bence eğlenceli değil Tam bilgi edinemiyorsunuz
1,yazarın okuduğum ilk kitabı mükemmel bir kurgusu var diğer kitaplarını okuyacağım
1,güzel bir kitap sartre seviyor varolulşuluk ilgi alanınızda okunması gereken bir eser düşünüyorum
1,mektuplardan oluşan etkileyici bir kitap okudum
1,Mutlaka herkesin kitap rafında olması okunması gereken bir kitap Tavsiye ederim
1,Le Guin türün kraliçesidir Ne yazsa keyifle okunur Bu kitap serinin diğer kitapları mükemmeldi
1,İyi iyi almışım dediğim bir kitap oldu benim Yazar Günümüzde teknolojinin geldiği noktayı eğlendirici düşündürücü bir şekilde akıcı olarak ifade etmiş
1,Bir profesörün elinden çıktığını belirtelim önce Şive kullanımı başarılı
1,kesinlikle mükemmel tereddutsuz çocuklarınıza ogrencilerinize okutmalisiniz
0,oldukça sıkıcı booktagramlarin tavsiyesi üstüne aldığım kitap okumaktan soğudugum bir kitap yazarin tut seni seviyorum kitabı güzel hayatın kıyısında kitabının son 70 sayfası hüzünlü akıcı
1,Sade bir dil akıcı öykü sevim ak favori yazarımız
0,yorumlara bakıp aldığım kitap Dünya kadar cinayet gerilim romanı okumuş olarak kitabı muhteşem bulanları pek anlamadım açıkçası Hem sıkıcı kurgusu kötüydü Sonunda şok olacaksınız bir yorum vardı sırf onun sayfaları yarı atlayıp okudum Şoktan kasıt neydi bilemiyorum ancak şok olmadığım sonu aceleye gelmiş Kitabın adı üstünde 50 50 katil Katil katil belli değil bir ayrıca 50 50 nedir onu öğrenemiyorsunuz
